exon_id	strand	start	stop	position	distance_to_end_in_kb
ENSMUSE00000108525	+	79448125.0	79448336.0	79448230.5	133.3815
ENSMUSE00000108553	+	79443769.0	79444209.0	79443989.0	137.623
ENSMUSE00000479017	+	79578254.0	79581612.0	79579933.0	1.679
ENSMUSE00000840996	+	79578254.0	79578942.0	79578598.0	3.014
ENSMUSE00001003357	+	79570231.0	79570447.0	79570339.0	11.273
ENSMUSE00001074679	+	79535603.0	79536035.0	79535819.0	45.793
ENSMUSE00001086507	+	79536793.0	79537133.0	79536963.0	44.649
ENSMUSE00001242726	+	79545354.0	79545547.0	79545450.5	36.1615
ENSMUSE00001279945	+	79547668.0	79547882.0	79547775.0	33.837
ENSMUSE00001304159	+	79546971.0	79547250.0	79547110.5	34.5015
